id,user_description,user_location,coordinates,text,geo,user_name,user_created,user_followers,id_str,created,retweet_count,user_bg_color,polarity,subjectivity
1,He doesn't carry bricks|ä¸ºäº†æ¶å¿ƒå¤§å®¶çœ‹è§å°±ä¸Šå»å’¬ä¸€å£|Jazz Junkie|Gastropub|He trolls everyone randomly|zh-US|Deutsch|stock option by brute force|BloombergäºŒæ‰‹çŸ¥è¯†è´©å­|å¸å°ç†ŠçŒ«éƒ½æ˜¯ä¸æŒ£é’±çš„æ—¶å€™,LONG VIX BUY PUT .com,,ä½ ä»¬è¦æ˜¯æŠŠFedå‘ç»™ä½ ä»¬çš„$1200å»ä¹°äº† $SPY 280 Call...,,luogl,2008-08-11T03:00:54,5720,1258494457206280197,2020-05-07T20:30:34,0,FFFFFF,0.0,0.0
2,I'm a Millennial in my early thirty's. All my tweets are only for educational purposes perform your own due diligence.,united states,,Ended the day with $532.50 Trading SP500 and NQ Futures Consistency is key ğŸ˜ƒ https://t.co/aEc0KVNfCqâ€¦ #Daytradeâ€¦ https://t.co/w69OlhM0YP,,mvc_club,2019-12-15T03:23:33,8,1258494482120691724,2020-05-07T20:30:40,0,F5F8FA,0.0,1.0
3,Harnessing the power of Neural Networks to predict critical prices in the Stock Market!,United States,,$GLD https://t.co/T4NoYPGBri https://t.co/Ugs6V7b4vr,,stockcharttrade,2015-11-12T16:54:45,1485,1258494490001752065,2020-05-07T20:30:42,0,C0DEED,0.0,0.0
4,ãªã‚“ã¡ã‚ƒã£ã¦æ¸‹è°·ç³»ã€‚,æœ­å¹Œå¸‚ä¸­å¤®åŒº,,"$VIX ã¯åè½ã—31.44ã€‚
æœŸé–“æ§‹é€ ã‚‚ã‚ˆã†ã‚„ãæœˆæ¬¡ãƒ¬ãƒ™ãƒ«ã§ä¸Šå‡¸ãŒè¦‹ã‚‰ã‚Œã‚‹å±•é–‹ã€‚
é ‚ç‚¹ã¯6æœˆé™ã€‚ã„ãšã‚Œã«ã›ã‚ˆæ°´å¹³ã‚‚é †è¡Œã‚‚ã¾ã é ãã†ã§ã™ãŒã€‚ https://t.co/wFpiV03TyH",,cmnt1,2009-08-07T19:39:41,165,1258494492094562305,2020-05-07T20:30:43,0,000000,0.0,0.0
5,"Professional Trader, Sunraq Capital: https://t.co/6Fqr4tLQKC | Series 7 Candidate | Athlete: https://t.co/3XdLlqGmiP | Liberty Advocate: https://t.co/jfFAw8fFit | Former Lieutenant, USMC","Ramona, CA",,#Gold moved greatly today. I capitalized exceptionally because I own a ton of mining stocks. This bull run is justâ€¦ https://t.co/3L5zRsUDRL,,ChrisNawojczyk,2010-02-23T22:18:39,1244,1258494547320909824,2020-05-07T20:30:56,0,000000,0.688888888888889,0.9166666666666666
6,Harnessing the power of Neural Networks to predict critical prices in the Stock Market!,United States,,$TLT https://t.co/PTdcENLtSu https://t.co/V1Szm2XIrp,,stockcharttrade,2015-11-12T16:54:45,1485,1258494574944833538,2020-05-07T20:31:03,0,C0DEED,0.0,0.0
7,"Panamanian. Married to La Yuya. Will often tweet in Spanish. Weekly core allocation as pinned tweet. Ex-broker, ex-trader, ex-risk & many other things.",Panama,,"Chop, pain. $GLD https://t.co/YadBxzM8Yy",,Charlie_Ledezma,2014-08-23T16:40:20,822,1258495337381142534,2020-05-07T20:34:04,0,1A1B1F,0.0,0.0
8,"Quant, systematic option trader, skew affiaciando, kurtosis owner, $SKEW denier, $VIX contango dancer. Frontrunning your call overwriting strategy since 2009.",Manhattan & London ,,"Cheap insurance trade, note the broken fly wings",,Mephisto731,2020-03-15T17:47:03,265,1258495390212591617,2020-05-07T20:34:17,0,F5F8FA,0.26666666666666666,0.6666666666666666
9,I dance in the wind and excite the masses!,,,$NOVN just beginning. $1.00+ coming fast $xrp $btc $spy $aapl $amzn $tsla $msft $goog $ba $fb $amd $v $qcom $nflxâ€¦ https://t.co/Dtn9Zds1GD,,Elias90sbabe,2017-06-13T15:40:20,173,1258495599617478659,2020-05-07T20:35:07,0,F5F8FA,0.2,0.6
10,Politics and Religions thrive on the premise of Artificial Scarcity. Livingry --Technologically reform the environment instead of politically reforming people.,"Washington, DC",,@BobPisani @Nasdaq @CNBC @CNBCClosingBell I am collecting easy CASH flow ... $SPY $DIA $QQQ thanks @realDonaldTrump https://t.co/h7VLU4SZlc,,Asherma123,2015-06-14T23:40:57,0,1258495604663242765,2020-05-07T20:35:08,0,000000,0.31666666666666665,0.5166666666666667
11,"All my posts are pure Junk. you pick the best junk. donâ€™t follow me, Iâ€™ll block",,,$SPY Donâ€™t worry it wonâ€™t drop below this line of defense https://t.co/2l0kmj3FaZ,,10sma5,2020-03-24T02:36:17,1,1258495618886127635,2020-05-07T20:35:11,0,F5F8FA,0.0,0.0
12,Day Trader,"Scottsdale, AZ",,$SPY PRINTER GO BRRRRRRRRR,,SteinCapital,2019-03-03T00:02:32,5,1258495680680689670,2020-05-07T20:35:26,0,F5F8FA,0.0,0.0
13,Aktieninvestor ğŸ“ˆ | Volkswirt ğŸ’¡ |  Finanz- und Wirtschaftsblogger ğŸ“ | fÃ¼r den gesellschaftlichen Diskurs ğŸ”Š | aus Wien ğŸ‡¦ğŸ‡¹,,,"Also damit konnte ja wirklich niemand rechnen, die verlieren Geld?! OMG $UBER 

Der die KursstÃ¤nde von #DowJones  uâ€¦ https://t.co/eUPdFaCo4r",,aktien22,2020-02-29T18:59:55,78,1258495682828292099,2020-05-07T20:35:27,0,F5F8FA,0.0,0.0
14,"Financial content thatâ€™s customized, optimized, socialized. #talkmarkets",,,"Short-Term Forecast For Thursday, May 7 $SPX https://t.co/UHKwl340JP",,TalkMarkets,2012-12-10T07:55:31,3658,1258495692902973443,2020-05-07T20:35:29,0,022330,0.0,0.0
15,Learn how to trade from our team of experienced professional #traders by joining an elite club of traders worldwide.,USA,,Craig Hemke from the TF Metals Report and Chris Talk Metals &amp; Marketsâ€¦.Todayâ€™s Free Podcast &gt;â€¦ https://t.co/uq8EKI1kMe,,options_income,2015-02-23T15:28:17,633,1258495754932375552,2020-05-07T20:35:44,0,C0DEED,0.4,0.8
16,Volatility mean reverts but contango losses are forever...,,,"May 7: $VIX futures contango settled at 1.56%
There is a headwind for $VXX, $UVXY, $TVIX
Last time we were not in bâ€¦ https://t.co/V0PB2ULjL9",,VixCentral,2012-06-02T02:55:07,12773,1258495792488361984,2020-05-07T20:35:53,0,C0DEED,0.0,0.06666666666666667
17,Options trader. I post trade analysis and trade ideas with charts. These are only my ideas and not investment advice.,,,"U.S. FED'S TOTAL BALANCE SHEET SIZE RISES TO $6.77 TRLN ON MAY 6 VS $6.70 TRLN A WEEK EARLIER - FED DATA

$spy $spx",,MMeatloaf7,2019-11-16T18:24:41,248,1258495818182660102,2020-05-07T20:35:59,0,F5F8FA,0.0,0.625
18,There Are No Shortcuts just Smarter Paths See NEW Charts Below #GOLD $GLD $NUGT $DUST $RTY  $ES $YM $NQ $RUT $IWM $SPY $SPX $DJIA $NYA $NDX $QQQ $IXIC $ERX  $CL,~ Southern California ~,,"Feds Nose bleed section is 
more overbought than at its Jan high for $QQQ Brazil the canary in the coal mine havingâ€¦ https://t.co/iJjKPUXQKm",,TheMrDev,2009-05-15T01:01:40,1468,1258495833546219520,2020-05-07T20:36:03,0,131516,0.33,0.52
19,"#markets #rates #equity_indices #commodities #FX,  using a pseudonym, Point as Twitter ~0 length, my knowledge ~0 breadth & depth :) Stupid rants sometimes",Timeframeville,,Funny when market gapped down 5% at Globex re-open  and up to 9% down $SPX open  3-4 times over weekend  in Feb- Maâ€¦ https://t.co/OVlDnjNXBX,,Pointedmacro,2018-11-22T22:51:42,181,1258495892862259206,2020-05-07T20:36:17,0,000000,-0.015277777777777793,0.5194444444444445
20,"Option Trader. Discipline, Dedication, Consistency, Intensity, Motivation.. ğŸ“‰ğŸš€ğŸ“ˆ Learning is KEY.    â€œEase is a greater threat to process than hardshipâ€ by DW",,,"$SPY 
Holding next week....",,LAVAoption,2011-02-10T20:15:19,961,1258495908288720897,2020-05-07T20:36:20,0,C0DEED,0.0,0.0
21,"Owner, Runnymede Capital Management | Host of INSPIRED MONEY, a Forbes Top 10 Personal Finance Podcast | Speaker | Featured: Barron's, Reuters, Investopedia","Morristown, NJ",,It was great to be back on @TDANetwork #TheWatchList with @NPetallides chatting about Finding Stocks with Solid Funâ€¦ https://t.co/3EaA3GpsMG,,RunnymedeCap,2010-10-12T18:26:13,6280,1258495913363943424,2020-05-07T20:36:22,0,C0DEED,0.26666666666666666,0.2833333333333333
22,Stock + Options Trader! Duke â€˜19! Founder of Peak Life Capital. After The Bell Publication. Tweets are NOT investment advice. Interpret new possibilities!,"Key West, FL",,Tune in!,,AnthonyOhayon,2014-12-13T02:16:09,3437,1258495974382751757,2020-05-07T20:36:36,0,C0DEED,0.0,0.0
23,Day Trader,"Scottsdale, AZ",,$SPY I WANT TO GO FASTER @HeyYouWhoMe,,SteinCapital,2019-03-03T00:02:32,5,1258496018242588687,2020-05-07T20:36:47,0,F5F8FA,0.0,0.0
24,Individual part-timer (not my day job). Dedicated to unbiased market charting & commentary for all; NOT investment or trading advice or recommendations.,,,"My original KI$$ indicator is still bearish, $BPSPX StochRSI under 0.20 (&amp; fwiw BPSPX also still back under 70%).â€¦ https://t.co/cBqHxICCrb",,ChartLines,2010-02-08T01:56:42,2771,1258496060324040718,2020-05-07T20:36:57,0,C0DEED,0.1875,0.375
25,"All tweets are only for informational use, not investment advice. Join my slack channel
https://tinyurl.com/tzv5erq",Toronto ,,"booooooom!!!!!!!!!!
What a nice day!! Tons of great call
$TTD $ROKU $AAPL $MSFT $NOW  $JPM $PLAY $ATVI $IBM $JPMâ€¦ https://t.co/fig0ECaG1P",,stock_optionss,2012-04-08T22:55:06,235,1258496077021564946,2020-05-07T20:37:01,0,C0DEED,0.86875,0.875
26,"Previously called  EMIPTV, Now simply, ""This is Dre"".  Follow me on YouTube to watch me trade/talk stocks.  I also do photography and trucking  Now that's Dope!",,,"$PTON $BYND and my $SPX Iron Condor Update
Quick Live video.   How did you do today?

https://t.co/Mzp13AMND2",,DreTrades,2011-04-21T13:04:25,492,1258496082616692736,2020-05-07T20:37:02,0,022330,0.23484848484848483,0.5
